"VARIABLE_SURVEY_DATA","TOOL_LABEL_SURVEY_DATA","PHASE","ACTIVITY","SURVEY_QUESTION_NUMBER","IS_OTHER_VARIABLE","FREE_TEXT_VARIABLE"
"GSCHOLSEARCH","Google Scholar","Discovery","search literature / data etc.","2A",,
"WOSSEARCH","Web of Science","Discovery","search literature / data etc.","2A",,
"SCOPSEARCH","Scopus","Discovery","search literature / data etc.","2A",,
"MENDSEARCH","Mendeley","Discovery","search literature / data etc.","2A",,
"WORLDCAT","WorldCat","Discovery","search literature / data etc.","2A",,
"PUBMED","PubMed","Discovery","search literature / data etc.","2A",,
"PAPERI","Paperity","Discovery","search literature / data etc.","2A",,
"SEARCHOTHCL","Other tools selected to search literature / data etc.","Discovery","search literature / data etc.","2A","other",
"SEARCHSPECCL","Other tools to search literature / data etc.","Discovery","search literature / data etc.","2A",,"freetext"
"DEEPDYVE","Deepdyve","Discovery","get access to literature / data etc.","2B",,
"MAILAUTH","E-mail the author","Discovery","get access to literature / data etc.","2B",,
"ACCESSOTHCL","Other tools selected to get access to literature / data etc.","Discovery","get access to literature / data etc.","2B",,
"ACCESSSPECCL","Other tools to get access to literature / data etc.","Discovery","get access to literature / data etc.","2B",,
"INSTACC","Institutional access","Discovery","get access to literature / data etc.","2B",,
"PAYVIEW","Pay per view on publisher platform","Discovery","get access to literature / data etc.","2B",,
"RES4LIFE","Research4Life","Discovery","get access to literature / data etc.","2B",,
"RGATEACCESS","ResearchGate","Discovery","get access to literature / data etc.","2B",,
"OABUT","Open Access Button","Discovery","get access to literature / data etc.","2B",,
"GSCHOLALERT","Google Scholar","Discovery","get alerts/recommendations","2C",,
"JRNLTOCS","JournalTOCs","Discovery","get alerts/recommendations","2C",,
"BROWZINE","Browzine","Discovery","get alerts/recommendations","2C",,
"MENDALERT","Mendeley","Discovery","get alerts/recommendations","2C",,
"F1000PRI","F1000 Prime","Discovery","get alerts/recommendations","2C",,
"SPARRHO","Sparrho","Discovery","get alerts/recommendations","2C",,
"RGATEALERT","ResearchGate","Discovery","get alerts/recommendations","2C",,
"ALERTOTHCL","Other tools selected to get alerts/recommendations","Discovery","get alerts/recommendations","2C","other",
"ALERTSPECCL","Other tools to get alerts/recommendations","Discovery","get alerts/recommendations","2C",,"freetext"
"ACROBAT","Acrobat Reader","Discovery","read/view/annotate","2D",,
"HTMLVIEW","using HTML view","Discovery","read/view/annotate","2D",,
"IANNOTATE","iAnnotate","Discovery","read/view/annotate","2D",,
"READCUBE","ReadCube","Discovery","read/view/annotate","2D",,
"UTOPDOCS","UtopiaDocs","Discovery","read/view/annotate","2D",,
"MENDREAD","Mendeley","Discovery","read/view/annotate","2D",,
"HYPOTHES","Hypothes.is","Discovery","read/view/annotate","2D",,
"READOTHCL","Other tools selected to read/view/annotate","Discovery","read/view/annotate","2D","other",
"READSPECCL","Other tools to read/view/annotate","Discovery","read/view/annotate","2D",,"freetext"
"RTOOL","R","Analysis","analyze data / texts","3A",,
"SPSS","SPSS","Analysis","analyze data / texts","3A",,
"MATLAB","Matlab","Analysis","analyze data / texts","3A",,
"EXCEL","Excel","Analysis","analyze data / texts","3A",,
"IPYTHON","iPython Notebook","Analysis","analyze data / texts","3A",,
"ROPENSCI","ROpenSci","Analysis","analyze data / texts","3A",,
"DHBOX","DHbox","Analysis","analyze data / texts","3A",,
"ANALYZOTHCL","Other tools selected to analyze data / texts","Analysis","analyze data / texts","3A","other",
"ANALYZSPECCL","Other tools to analyze data / texts","Analysis","analyze data / texts","3A",,"freetext"
"OPSCIFRAM","Open Science Framework","Analysis","share notebooks / protocols / workflows","3B",,
"MYEXP","myExperiment","Analysis","share notebooks / protocols / workflows","3B",,
"BENCHLING","BenchLing","Analysis","share notebooks / protocols / workflows","3B",,
"PROTOCIO","Protocols.io","Analysis","share notebooks / protocols / workflows","3B",,
"BENCHFLY","Benchfly","Analysis","share notebooks / protocols / workflows","3B",,
"SCIPROT","Scientific Protocols","Analysis","share notebooks / protocols / workflows","3B",,
"PROTOCONL","Protocol Online","Analysis","share notebooks / protocols / workflows","3B",,
"NOTEOTHCL","Other tools selected to share notebooks / protocols / workflows","Analysis","share notebooks / protocols / workflows","3B","other",
"NOTESPECCL","Other tools to share notebooks / protocols / workflows","Analysis","share notebooks / protocols / workflows","3B",,"freetext"
"WORD","Word","Writing","write / prepare your manuscript","4A",,
"GTDRIVE","Google Drive/Docs","Writing","write / prepare your manuscript","4A",,
"AUTHOREA","Authorea","Writing","write / prepare your manuscript","4A",,
"LATEX","LaTeX","Writing","write / prepare your manuscript","4A",,
"SCRIVEN","Scrivener","Writing","write / prepare your manuscript","4A",,
"OVERLEAF","Overleaf (=WriteLaTeX)","Writing","write / prepare your manuscript","4A",,
"SCALAR","Scalar","Writing","write / prepare your manuscript","4A",,
"WRITEOTHCL","Other tools selected to write / prepare your manuscript","Writing","write / prepare your manuscript","4A","other",
