column,variable name,full name / survey question,survey question number,input type,multiple answers allowed?
A,ID,Identification number,n/a,alphanumerical ID (automatically assigned),n/a
B,ROLE,What is your research role?,1A,selection of preset answers,yes
C,ROLESPEC,Please fill in your research role [anonymized],1A,"free text specification of ""others"" option",n/a
D,COUNTRYCL,"What is the country of your current (or last) affiliation? [anonymized, cleaned]",1B,"open question, free text",n/a
E,PHYS,What discipline(s) are you working in - Physical Sciences,1C,preset answer,yes
F,ENGTECH,What discipline(s) are you working in - Engineering & Technology,1C,preset answer,yes
G,LIFE,What discipline(s) are you working in - Life Sciences,1C,preset answer,yes
H,MED,What discipline(s) are you working in - Medicine,1C,preset answer,yes
I,SOCEC,What discipline(s) are you working in - Social Sciences & Economics,1C,preset answer,yes
J,LAW,What discipline(s) are you working in - Law,1C,preset answer,yes
K,ARTHUM,What discipline(s) are you working in - Arts & Humanities,1C,preset answer,yes
L,PUBYEAR,From which year dates your first scholarly publication?,1D,selection of preset answers,no
M,GSCHOLSEARCH,What tools/sites do you use to search literature / data etc. - Google Scholar,2A,preset answer,yes
N,WOSSEARCH,What tools/sites do you use to search literature / data etc. - Web of Science,2A,preset answer,yes
O,SCOPSEARCH,What tools/sites do you use to search literature / data etc. - Scopus,2A,preset answer,yes
P,MENDSEARCH,What tools/sites do you use to search literature / data etc. - Mendeley,2A,preset answer,yes
Q,WORLDCAT,What tools/sites do you use to search literature / data etc. - WorldCat,2A,preset answer,yes
R,PUBMED,What tools/sites do you use to search literature / data etc. - PubMed,2A,preset answer,yes
S,PAPERI,What tools/sites do you use to search literature / data etc. - Paperity,2A,preset answer,yes
T,SEARCHOTH,What tools/sites do you use to search literature / data etc. - (and also) others,2A,preset answer,yes
U,SEARCHSPEC,Please specify the other tool(s) that you use for searching literature / data etc. (separated with comma's),2A,"free text specification of ""others"" option",yes
V,INSTACC,What tools/sites do you use to get access to literature / data etc. - Institutional access,2B,preset answer,yes
