ID;role;research_role;research_role_ifother;country;field;ArtsHumanities;EngineeringTechnology;Law;LifeSciences;Medicine;PhysicalSciences;SocialSciencesEconomics;firstpub;imp_dev;supportOA;supportOS;tool_access_author;tool_access_deepdyve;tool_access_institutional;tool_access_oabutton;tool_access_other;tool_access_other_orig;tool_access_ppv;tool_access_res4life;tool_access_resgate;tool_alert_browzine;tool_alert_f1000;tool_alert_gs;tool_alert_mendeley;tool_alert_other;tool_alert_other_orig;tool_alert_resgate;tool_alert_sparrho;tool_alert_toc;tool_analysis_dhbox;tool_analysis_excel;tool_analysis_ipython;tool_analysis_matlab;tool_analysis_other;tool_analysis_other_orig;tool_analysis_r;tool_analysis_ropen;tool_analysis_spss;tool_archcode_bitbucket;tool_archcode_dataverse;tool_archcode_dryad;tool_archcode_figshare;tool_archcode_github;tool_archcode_other;tool_archcode_other_orig;tool_archcode_pangaea;tool_archcode_zenodo;tool_archpres_f1000;tool_archpres_figshare;tool_archpres_other;tool_archpres_other_orig;tool_archpres_slideshare;tool_archpres_sop;tool_archpres_speakerdeck;tool_archpres_vimeo;tool_archpres_zenodo;tool_archpub_arxiv;tool_archpub_bioRxiv;tool_archpub_institrepo;tool_archpub_isharewp;tool_archpub_other;tool_archpub_other_orig;tool_archpub_pubmed;tool_archpub_resgate;tool_archpub_ssrn;tool_impact_altmet;tool_impact_hpop;tool_impact_is;tool_impact_jcr;tool_impact_other;tool_impact_other_orig;tool_impact_plos;tool_impact_scopus;tool_impact_wos;tool_pop_famelab;tool_pop_kudos;tool_pop_other;tool_pop_other_orig;tool_pop_pos;tool_pop_resblog;tool_pop_twit;tool_pop_wiki;tool_pop_wordpress;tool_profile_academia;tool_profile_gsc;tool_profile_instit;tool_profile_msw;tool_profile_orcid;tool_profile_other;tool_profile_other_orig;tool_profile_resgate;tool_profile_resid;tool_pub_dataj;tool_pub_f1000;tool_pub_megaoa;tool_pub_megatrad;tool_pub_other;tool_pub_other_orig;tool_pub_topicoa;tool_pub_topictrad;tool_pub_winnower;tool_read_acro;tool_read_html;tool_read_hypothesis;tool_read_iannotate;tool_read_mendeley;tool_read_other;tool_read_other_orig;tool_read_readcube;tool_read_utopia;tool_ref_citavi;tool_ref_endnote;tool_ref_mendeley;tool_ref_other;tool_ref_other_orig;tool_ref_papers;tool_ref_refme;tool_ref_refworks;tool_ref_zotero;tool_review_ak;tool_review_other;tool_review_other_orig;tool_review_papercritic;tool_review_pos;tool_review_publons;tool_review_pubmed;tool_review_pubpeer;tool_review_rubriq;tool_search_gs;tool_search_mendeley;tool_search_other_orig;tool_search_paperity;tool_search_pubmed;tool_search_scopus;tool_search_worldcat;tool_search_wos;tool_share_benchfly;tool_share_benchling;tool_share_myexp;tool_share_osf;tool_share_other;tool_share_other_orig;tool_share_protocolonline;tool_share_protocolsio;tool_share_scipro;tool_submit_doaj;tool_submit_jcr;tool_submit_journalysis;tool_submit_other;tool_submit_other_orig;tool_submit_qoam;tool_submit_sci;tool_submit_scopus;tool_submit_sherpa;tool_write_authorea;tool_write_gdocs;tool_write_latex;tool_write_other;tool_write_other_orig;tool_write_overleaf;tool_write_scalar;tool_write_scrivener;tool_write_word
"00339aa1086f733486c640ea68bd8245";"PhD student";"PhD student";"";"Netherlands";"Multiple";0;0;0;1;1;0;1;"2006-2010";"mendeley";1;1;0;0;1;0;"";"";0;0;0;0;0;1;1;"e-mail alert (Pubmed)";"pubmed";1;0;0;0;1;0;0;"";"";0;0;1;0;0;0;0;0;"";"";0;0;0;0;"MS PowerPoint";"PowerPoint microsoft";0;0;0;0;0;0;0;0;0;"";"";0;1;0;0;0;0;0;"";"";0;0;0;0;0;"Practitioner Networks and Journals";"pediatric psychology network";0;0;0;0;0;0;1;0;0;0;"";"";1;0;0;0;1;0;"";"";0;1;0;1;0;0;0;1;"";"";0;0;0;0;1;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;1;"";0;1;0;0;1;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;1
"01727171178d349d3e2510a7863d828a";"Other";"Other";"policy advisor";"Netherlands";"Multiple";0;0;1;1;0;0;1;"2001-2005";"";1;1;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0
"01ac4c459b695c3c8eb7d8fa8d216647";"Professor / Associate professor / Assistant professor";"Professor / Associate professor / Assistant professor";"";"Netherlands";"Life Sciences";0;0;0;1;0;0;0;"before 1991";"open access";1;0;0;0;1;0;"Open Access Publications";"direct acces to open access journals";0;0;1;0;0;0;0;"e-mail alert (Pubmed)";"pubmed";0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"EndNote";"endnote";0;0;0;0;0;0;0;"";"";0;0;1;0;0;"";"";0;0;0;0;0;0;0;0;0;0;"LinkedIn";"LinkedIn";0;0;0;0;1;0;"";"";0;1;0;1;0;0;0;0;"EndNote";"endnote";0;0;0;1;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;"";0;1;0;0;1;0;0;0;0;"";"";0;0;0;0;0;0;"Web of Science";"web of science";0;0;0;0;0;0;0;"";"";0;0;0;1
"021e5da9444c967324da787873e35ae6";"Librarian";"Librarian";"";"Netherlands";"Life Sciences";0;0;0;1;0;0;0;"1991-2000";"Open Science";1;1;1;0;1;0;"Google Scholar,Openaccess Search Engines (eg. Base)";"Google Scholar or BASE to find OA versions";0;0;1;1;0;1;0;"e-mail alert (Web of Science),e-mail alert (Scopus)";"Web of Science, Scopus";0;0;1;0;1;0;0;"";"";0;0;0;0;0;0;1;0;"";"";0;0;0;1;"";"";1;0;0;0;0;0;0;1;0;"";"";0;0;0;1;1;1;1;"";"";0;1;1;0;0;"";"";0;1;1;0;1;1;1;1;0;1;"ISNI";"ISNI, VIAF";1;1;0;0;0;0;"";"";1;0;0;1;0;0;0;0;"";"";0;0;0;1;1;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"";0;0;1;0;1;0;0;0;0;"";"";0;0;0;0;1;0;"";"";0;1;1;0;1;1;0;"";"";0;0;0;1
"0274508adf04fe00c6491fa6322d9830";"PhD student";"Other";"Assistant researcher";"Netherlands";"Multiple";1;0;0;0;1;0;0;"I haven't published (yet)";"";1;0;0;0;1;0;"";"";0;0;0;0;0;1;0;"";"";0;0;0;0;1;0;0;"";"";1;0;1;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;1;0;0;"WikiSpaces";"wikispaces";0;0;0;0;0;0;0;0;0;1;"";"";1;0;0;0;0;0;"";"";0;0;0;1;0;0;0;1;"";"";0;0;0;0;1;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"The library of my university when I can't get something from Google scholar";0;0;0;0;0;0;0;0;0;"";"";0;0;0;1;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;1
"0276ff4cf7bf970116b271e996e2baee";"PhD student";"PhD student";"";"Netherlands";"Life Sciences";0;0;0;1;0;0;0;"I haven't published (yet)";"more open access journals/papers";1;1;1;0;1;1;"";"";0;0;1;0;0;1;0;"";"";0;0;0;0;0;0;0;"";"";0;0;1;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";0;1;0;0;0;0;0;"ResearchGate profile metrics";"research gate";0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;0;"";"";1;0;0;0;0;0;"";"";0;0;0;1;1;0;0;1;"";"";1;0;0;0;1;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"";0;1;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;1;0;"";"";0;0;0;1
"028eb80e869eb25b820dee0ebe07a2e8";"PhD student";"PhD student";"";"Netherlands";"Life Sciences";0;0;0;1;0;0;0;"2011-2016";"";1;1;0;0;1;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0;1;0;1;"";"";0;0;0;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;1;0;0;0;1;"";"";0;0;0;0;1;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"";0;1;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;1;0;"";"";0;0;0;1
"03431e5356b23471490bb928e641981d";"PhD student";"PhD student";"";"Netherlands";"Medicine";0;0;0;0;1;0;0;"2011-2016";"Quicker review processes when submitting manuscript";1;1;1;0;1;0;"";"";0;0;1;0;0;0;0;"";"";0;0;0;0;1;0;0;"MaxQDA,Atlas.ti,Review Manager (RevMan)";"MaxQDA, Atlas.ti, ReviewManager";0;0;1;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;0;0;"";"";0;0;1;0;0;0;0;0;0;1;"";"";1;0;0;0;1;0;"";"";1;1;0;1;0;0;0;0;"";"";0;0;0;1;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"";0;1;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;0;1
"0381b443eeff2dbe2ace0e0bf7b098ae";"PhD student";"PhD student";"";"Netherlands";"Medicine";0;0;0;0;1;0;0;"I haven't published (yet)";"open access";0;0;0;0;1;1;"";"";0;0;1;0;0;0;0;"";"";0;0;0;0;0;0;0;"";"";0;0;1;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";1;1;0;0;0;0;0;"";"";0;0;1;0;0;"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;0;0;1;1;"";"";0;1;0;1;0;0;0;0;"";"";0;0;0;1;0;"";"";0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;"";0;1;0;0;0;0;0;0;0;"";"";0;0;0;0;0;0;"";"";0;0;1;0;0;0;0;"";"";0;0;0;1
"04110a565805714b8cbb8ac0e38f68b7";"PhD student";"PhD student";"";"Netherlands";"Life Sciences";0;0;0;1;0;0;0;"2011-2016";"";0;1;0;0;1;0;"";"";0;0;0;0;0;1;0;"";"";1;0;0;0;1;0;0;"";"";0;0;1;0;0;0;0;0;"";"";0;0;0;0;"";"";0;0;0;0;0;0;0;0;0;"";"";1;1;0;0;0;0;1;"";"";1;0;0;0;0;"";"";0;0;0;1;1;0;1;0;0;0;"";"";1;0;0;0;0;0;"";"";1;1;0;1;0;0;0;0;"";"";0;0;0;1;0;"Reference Manager";"reference manager";0;0;0;0;0;"";"";0;0;0;0;0;0;1;0;"";0;1;0;0;0;0;0;0;1;"";"";0;0;0;0;0;0;"";"";0;0;0;0;0;1;0;"";"";0;0;0;1
